type,contextLevel,sentence
"Paraphrase","Full Context","บริษัทแฟชั่นเปิดตัวคอลเลกชันใหม่ มี press release เน้น reasoning และ proposal สำหรับ partnership ช่วย rewrite สาระสำคัญ"
"Paraphrase","Full Context","ร้านอาหารจัด simulation role play ในงาน awareness campaign มี press release และ proposal ช่วย rewrite บทบาทและเนื้อหาสำคัญ"
"Paraphrase","Full Context","บริษัทเทคโนโลยีมี proposal สำหรับ partnership กับโรงเรียน มี press release เปิดตัวแอปใหม่ ช่วย paraphrase ข้อดีข้อเสีย"
"Paraphrase","Full Context","บริษัทอสังหาฯ มี press release สำหรับเปิดตัวโครงการใหม่ มี simulation role play ในงาน ช่วย rewrite เนื้อหาหลัก"
"Paraphrase","Full Context","ทีมงานประชุมเรื่องการใช้ caption generation ใน trending campaign มี proposal partnership กับ influencer ช่วย paraphrase ประเด็นสำคัญ"
"Simulation Role Play as a Character","Without Context","สมมติว่าคุณเป็นผู้บริหารบริษัทแฟชั่น กำลังพูดในงานเปิดตัวคอลเลกชันใหม่ที่มี press release และ caption generation"
"Simulation Role Play as a Character","Without Context","ลองจำลองบทบาทเป็น influencer ที่ได้รับ proposal ความร่วมมือใน trending campaign"
"Simulation Role Play as a Character","Without Context","สมมติว่าคุณเป็นลูกค้าบ้านเดี่ยวใหม่ที่ได้รับ press release และ reasoning จุดเด่น"
"Simulation Role Play as a Character","Without Context","ลองเล่นบทบาทเป็นเจ้าของร้านอาหารที่ต้องเตรียมเอกสารประชาสัมพันธ์สำหรับ awareness campaign"
"Simulation Role Play as a Character","Without Context","สมมติว่าคุณเป็นนักวางแผน marketing ที่ต้องสรุปเทรนด์ caption generation ในทีม"
"Simulation Role Play as a Character","Without Context","ลองจำลองบทบาทเป็นผู้บริหารบริษัทเทคโนโลยีที่ต้องนำเสนอ proposal สำหรับ partnership"
"Simulation Role Play as a Character","Without Context","สมมติว่าคุณเป็นนักการตลาดที่ต้องสรุปข้อดีข้อเสียของ press release สำหรับสินค้าใหม่"
"Simulation Role Play as a Character","Without Context","ลองเล่นบทบาทเป็นลูกค้าโรงเรียนที่ได้รับ proposal สำหรับ awareness campaign"
"Simulation Role Play as a Character","Without Context","สมมติว่าคุณเป็น influencer ที่ได้รับข้อเสนอ partnership จากบริษัทแฟชั่น"
"Simulation Role Play as a Character","Without Context","ลองจำลองบทบาทเป็นผู้บริหารร้านอาหารที่ต้องจัด simulation role play ในงานเปิดตัวเมนูใหม่"
"Simulation Role Play as a Character","Without Context","สมมติว่าคุณเป็นนักวางแผน marketing ที่ต้อง rewrite ข้อความใน press release"
"Simulation Role Play as a Character","Without Context","ลองเล่นบทบาทเป็นลูกค้าอสังหาฯ ที่ได้รับ press release บ้านเดี่ยวใหม่"
"Simulation Role Play as a Character","Without Context","สมมติว่าคุณเป็นผู้บริหารบริษัทเทคโนโลยีที่ต้องสรุปเนื้อหา proposal สำหรับ partnership"
"Simulation Role Play as a Character","Without Context","ลองจำลองบทบาทเป็น influencer ที่ต้องพรีเซนต์ trending campaign"
"Simulation Role Play as a Character","Without Context","สมมติว่าคุณเป็นเจ้าของร้านอาหารที่ต้อง rewrite ข้อความใน press release"
"Simulation Role Play as a Character","Without Context","ลองเล่นบทบาทเป็นนักวางแผน marketing ที่ต้อง rewrite ข้อความใน proposal"
"Simulation Role Play as a Character","Without Context","สมมติว่าคุณเป็นผู้บริหารบริษัทแฟชั่นที่ต้อง rewrite ข้อความใน press release"
"Simulation Role Play as a Character","Without Context","ลองจำลองบทบาทเป็นลูกค้าโรงเรียนที่ได้รับ proposal สำหรับ awareness campaign"
"Simulation Role Play as a Character","Without Context","สมมติว่าคุณเป็น influencer ที่ได้รับข้อเสนอ partnership จากบริษัทแฟชั่น"
"Simulation Role Play as a Character","Without Context","ลองจำลองบทบาทเป็นผู้บริหารร้านอาหารที่ต้องจัด simulation role play ในงานเปิดตัวเมนูใหม่"
"Simulation Role Play as a Character","Light Context","คุณเป็นนักวางแผน marketing ของบริษัทแฟชั่น ต้องพูดในงานเปิดตัวคอลเลกชันใหม่ที่มี press release และ caption generation ลองสมมติบทสนทนา"
"Simulation Role Play as a Character","Light Context","คุณเป็น influencer ที่ได้รับ proposal ความร่วมมือใน trending campaign ลองจำลองบทบาทและตอบกลับ"
"Simulation Role Play as a Character","Light Context","คุณเป็นลูกค้าบ้านเดี่ยวใหม่ที่ได้รับ press release และ reasoning จุดเด่น ลองสมมติบทสนทนา"
"Simulation Role Play as a Character","Light Context","คุณเป็นเจ้าของร้านอาหารที่ต้องเตรียมเอกสารประชาสัมพันธ์สำหรับ awareness campaign ลองจำลองบทบาท"
"Simulation Role Play as a Character","Light Context","คุณเป็นนักวางแผน marketing ที่ต้องสรุปเทรนด์ caption generation ในทีม ลองสมมติการพูดคุย"
"Simulation Role Play as a Character","Light Context","คุณเป็นผู้บริหารบริษัทเทคโนโลยีที่ต้องนำเสนอ proposal สำหรับ partnership ลองจำลองบทบาท"
"Simulation Role Play as a Character","Light Context","คุณเป็นนักการตลาดที่ต้องสรุปข้อดีข้อเสียของ press release สำหรับสินค้าใหม่ ลองสมมติบทสนทนา"
"Simulation Role Play as a Character","Light Context","คุณเป็นลูกค้าโรงเรียนที่ได้รับ proposal สำหรับ awareness campaign ลองจำลองบทบาท"
"Simulation Role Play as a Character","Light Context","คุณเป็น influencer ที่ได้รับข้อเสนอ partnership จากบริษัทแฟชั่น ลองสมมติการตอบกลับ"
"Simulation Role Play as a Character","Light Context","คุณเป็นผู้บริหารร้านอาหารที่ต้องจัด simulation role play ในงานเปิดตัวเมนูใหม่ ลองจำลองบทบาท"
"Simulation Role Play as a Character","Light Context","คุณเป็นนักวางแผน marketing ที่ต้อง rewrite ข้อความใน press release ลองสมมติการพูดคุย"
"Simulation Role Play as a Character","Light Context","คุณเป็นลูกค้าอสังหาฯ ที่ได้รับ press release บ้านเดี่ยวใหม่ ลองจำลองบทบาท"
"Simulation Role Play as a Character","Light Context","คุณเป็นผู้บริหารบริษัทเทคโนโลยีที่ต้องสรุปเนื้อหา proposal สำหรับ partnership ลองสมมติการนำเสนอ"
"Simulation Role Play as a Character","Light Context","คุณเป็น influencer ที่ต้องพรีเซนต์ trending campaign ลองจำลองบทบาท"
"Simulation Role Play as a Character","Light Context","คุณเป็นเจ้าของร้านอาหารที่ต้อง rewrite ข้อความใน press release ลองสมมติการพูดคุย"
"Simulation Role Play as a Character","Light Context","คุณเป็นนักวางแผน marketing ที่ต้อง rewrite ข้อความใน proposal ลองจำลองบทบาท"
"Simulation Role Play as a Character","Light Context","คุณเป็นผู้บริหารบริษัทแฟชั่นที่ต้อง rewrite ข้อความใน press release ลองสมมติการพูดคุย"
"Simulation Role Play as a Character","Light Context","คุณเป็นลูกค้าโรงเรียนที่ได้รับ proposal สำหรับ awareness campaign ลองจำลองบทบาท"
"Simulation Role Play as a Character","Light Context","คุณเป็น influencer ที่ได้รับข้อเสนอ partnership จากบริษัทแฟชั่น ลองสมมติการตอบกลับ"
"Simulation Role Play as a Character","Light Context","คุณเป็นผู้บริหารร้านอาหารที่ต้องจัด simulation role play ในงานเปิดตัวเมนูใหม่ ลองสมมติบทสนทนา"
"Simulation Role Play as a Character","Full Context","คุณเป็นนักวางแผน marketing ของบริษัทแฟชั่น ต้องพูดในงานเปิดตัวคอลเลกชันใหม่ที่มี press release reasoning และ caption generation ลองสมมติบทสนทนาและตอบคำถามจากผู้ร่วมงาน"
"Simulation Role Play as a Character","Full Context","คุณเป็น influencer ที่ได้รับ proposal ความร่วมมือใน trending campaign และต้องพรีเซนต์ไอเดีย caption generation ลองจำลองบทบาทและตอบกลับ"
"Simulation Role Play as a Character","Full Context","คุณเป็นลูกค้าบ้านเดี่ยวใหม่ที่ได้รับ press release reasoning และ proposal partnership ลองสมมติบทสนทนาในการประชุม"
"Simulation Role Play as a Character","Full Context","คุณเป็นเจ้าของร้านอาหารที่ต้องเตรียมเอกสารประชาสัมพันธ์และจัด simulation role play ในงาน awareness campaign ลองจำลองบทบาทและตอบคำถาม"
"Simulation Role Play as a Character","Full Context","คุณเป็นนักวางแผน marketing ที่ต้องสรุปเทรนด์ caption generation และ rewrite ข้อความใน press release ลองสมมติการพูดคุยในทีม"
"Simulation Role Play as a Character","Full Context","คุณเป็นผู้บริหารบริษัทเทคโนโลยีที่ต้องนำเสนอ proposal สำหรับ partnership และ simulation role play ในงาน ลองจำลองบทบาท"
"Simulation Role Play as a Character","Full Context","คุณเป็นนักการตลาดที่ต้องสรุปข้อดีข้อเสียของ press release สำหรับสินค้าใหม่และ rewrite เนื้อหา proposal ลองสมมติการนำเสนอ"
"Simulation Role Play as a Character","Full Context","คุณเป็นลูกค้าโรงเรียนที่ได้รับ proposal สำหรับ awareness campaign และ press release reasoning ลองจำลองบทบาท"
"Simulation Role Play as a Character","Full Context","คุณเป็น influencer ที่ได้รับข้อเสนอ partnership จากบริษัทแฟชั่นและต้องตอบกลับในงาน simulation role play ลองสมมติการพูดคุย"
"Simulation Role Play as a Character","Full Context","คุณเป็นผู้บริหารร้านอาหารที่ต้องจัด simulation role play ในงานเปิดตัวเมนูใหม่และ rewrite press release reasoning ลองจำลองบทบาทและตอบคำถาม"
"Simulation Role Play as a Character","Full Context","คุณเป็นนักวางแผน marketing ที่ต้อง rewrite ข้อความใน press release และสรุปข้อดีข้อเสียของ proposal ลองสมมติการพูดคุย"
"Simulation Role Play as a Character","Full Context","คุณเป็นลูกค้าอสังหาฯ ที่ได้รับ press release reasoning และ proposal partnership ลองสมมติบทสนทนา"
"Simulation Role Play as a Character","Full Context","คุณเป็นผู้บริหารบริษัทเทคโนโลยีที่ต้องสรุปเนื้อหา proposal สำหรับ partnership และ simulation role play ลองสมมติการนำเสนอ"
"Simulation Role Play as a Character","Full Context","คุณเป็น influencer ที่ต้องพรีเซนต์ trending campaign และ rewrite ข้อความใน proposal ลองจำลองบทบาท"
"Simulation Role Play as a Character","Full Context","คุณเป็นเจ้าของร้านอาหารที่ต้อง rewrite ข้อความใน press release และจัด simulation role play ในงาน awareness campaign ลองสมมติการพูดคุย"
"Simulation Role Play as a Character","Full Context","คุณเป็นนักวางแผน marketing ที่ต้อง rewrite ข้อความใน proposal และสรุปข้อดีข้อเสีย ลองจำลองบทบาท"
"Simulation Role Play as a Character","Full Context","คุณเป็นผู้บริหารบริษัทแฟชั่นที่ต้อง rewrite ข้อความใน press release และพูดในงาน simulation role play ลองสมมติการพูดคุย"
"Simulation Role Play as a Character","Full Context","คุณเป็นลูกค้าโรงเรียนที่ได้รับ proposal สำหรับ awareness campaign และ press release reasoning ลองจำลองบทบาท"
"Simulation Role Play as a Character","Full Context","คุณเป็น influencer ที่ได้รับข้อเสนอ partnership จากบริษัทแฟชั่นและต้องตอบกลับในงาน simulation role play ลองสมมติการพูดคุย"
"Simulation Role Play as a Character","Full Context","คุณเป็นผู้บริหารร้านอาหารที่ต้องจัด simulation role play ในงานเปิดตัวเมนูใหม่และ rewrite press release reasoning ลองจำลองบทบาทและตอบคำถาม"
"Reasoning","Without Context","วิเคราะห์ข้อดีข้อเสียของการใช้ caption generation ใน press release เปิดตัวสินค้าใหม่"
"Reasoning","Without Context","ช่วยให้เหตุผลว่าทำไมการทำ proposal partnership กับ influencer ถึงเหมาะกับ awareness campaign"
"Reasoning","Without Context","อธิบาย reasoning ของการนำ simulation role play มาใช้ใน marketing planning"
"Reasoning","Without Context","เปรียบเทียบข้อดีข้อเสียของ trending campaign กับ general campaign"
"Reasoning","Without Context","ให้เหตุผลว่าทำไมควรใช้ press release ที่เน้นเทรนด์ caption generation"
"Reasoning","Without Context","วิเคราะห์ว่าการสรุปเนื้อหาใน proposal ช่วยเพิ่มประสิทธิภาพ awareness campaign อย่างไร"
"Reasoning","Without Context","อธิบายเหตุผลที่ควรใช้ simulation role play ในการฝึกทีมงาน marketing"
"Reasoning","Without Context","เปรียบเทียบข้อดีของการใช้ reasoning ใน press release กับการใช้ paraphrase"
"Reasoning","Without Context","ให้เหตุผลว่าทำไม partnership proposal ถึงควรมีสรุปข้อดีข้อเสีย"
"Reasoning","Without Context","อธิบายว่าทำไม caption generation ถึงสำคัญต่อ trending campaign"
"Reasoning","Without Context","ช่วย reasoning ว่าทำไมการใช้ press release ที่มี simulation role play ถึงน่าสนใจ"
"Reasoning","Without Context","เปรียบเทียบข้อดีข้อเสียของการสรุปเนื้อหาใน proposal กับการใช้ paraphrase"
"Reasoning","Without Context","ให้เหตุผลว่าทำไม awareness campaign ถึงควรมี caption generation"
"Reasoning","Without Context","อธิบายเหตุผลว่าทำไม partnership กับ influencer ถึงเหมาะกับ press release"
"Reasoning","Without Context","วิเคราะห์ข้อดีข้อเสียของการใช้ simulation role play ใน marketing planning"
"Reasoning","Without Context","ช่วย reasoning ว่าทำไม trending campaign ถึงต้องมีสรุปเนื้อหาชัดเจน"
"Reasoning","Without Context","อธิบายเหตุผลที่ควรใช้ paraphrase ใน press release"
"Reasoning","Without Context","ให้เหตุผลว่าทำไม proposal partnership ถึงควรมี simulation role play"
"Reasoning","Without Context","เปรียบเทียบข้อดีของ caption generation กับ general content ใน awareness campaign"
"Reasoning","Without Context","อธิบายว่าทำไม reasoning ถึงสำคัญใน marketing planning"
"Reasoning","Light Context","บริษัทแฟชั่นต้องการเลือกใช้ระหว่าง press release ที่มี caption generation กับการใช้ simulation role play ใน event ช่วย reasoning ว่าแบบไหนเหมาะกับ awareness campaign"
"Reasoning","Light Context","ทีมงานวางแผน partnership กับ influencer สำหรับ trending campaign ช่วยอธิบาย reasoning ว่าทำไมควรเลือกวิธีนี้"
"Reasoning","Light Context","บริษัทอสังหาฯ กำลังตัดสินใจว่าจะใช้ paraphrase หรือ summary ใน proposal ช่วย reasoning ข้อดีข้อเสีย"
"Reasoning","Light Context","ร้านอาหารเลือกใช้ simulation role play ในงานเปิดตัวเมนูใหม่ ช่วยอธิบายเหตุผลว่าทำไมวิธีนี้ถึงดี"
"Reasoning","Light Context","บริษัทเทคโนโลยีลังเลระหว่างใช้ press release เน้น reasoning กับการสรุปเนื้อหาใน proposal ช่วย reasoning"
"Reasoning","Light Context","ทีม marketing กำลังเลือกใช้ caption generation ใน trending campaign ช่วยอธิบายว่าทำไมถึงควรเลือก"
"Reasoning","Light Context","บริษัทแฟชั่นกำลังวางแผน partnership กับ influencer ช่วย reasoning ว่าทำไมควรมี simulation role play"
"Reasoning","Light Context","ร้านอาหารจะใช้ press release สำหรับ awareness campaign ช่วย reasoning ข้อดีข้อเสีย"
"Reasoning","Light Context","บริษัทอสังหาฯ ต้องการเลือกใช้ summary หรือ paraphrase ใน proposal ช่วย reasoning"
"Reasoning","Light Context","ทีมงานต้องตัดสินใจเลือก caption generation หรือ general content ใน awareness campaign ช่วย reasoning"
"Reasoning","Light Context","บริษัทเทคโนโลยีต้องการใช้ simulation role play ใน marketing planning ช่วย reasoning ว่าทำไมควรเลือก"
"Reasoning","Light Context","ร้านอาหารต้องการใช้ press release ที่มี reasoning ในการเปิดตัวเมนูใหม่ ช่วยอธิบายข้อดี"
"Reasoning","Light Context","บริษัทแฟชั่นลังเลระหว่างใช้ simulation role play กับ proposal partnership ช่วย reasoning"
"Reasoning","Light Context","ทีมงาน marketing ต้องการเลือกใช้ caption generation ใน trending campaign ช่วยอธิบายเหตุผล"
"Reasoning","Light Context","บริษัทอสังหาฯ ต้องการใช้ paraphrase ใน press release ช่วย reasoning ข้อดีข้อเสีย"
"Reasoning","Light Context","ร้านอาหารลังเลระหว่างใช้ summary หรือ paraphrase ใน proposal ช่วย reasoning"
"Reasoning","Light Context","บริษัทเทคโนโลยีต้องการเลือกใช้ simulation role play ใน marketing planning ช่วย reasoning"
"Reasoning","Light Context","ทีมงานต้องการใช้ press release ที่มี caption generation ใน awareness campaign ช่วยอธิบายเหตุผล"
"Reasoning","Light Context","บริษัทแฟชั่นต้องการใช้ partnership proposal ที่มี simulation role play ช่วย reasoning"
"Reasoning","Light Context","ร้านอาหารต้องการใช้ reasoning ใน marketing planning ช่วยอธิบายข้อดี"
"Reasoning","Full Context","บริษัทแฟชั่นกำลังจะเปิดตัวคอลเลกชันใหม่ มีสองทางเลือกคือใช้ press release ที่เน้น caption generation หรือจัด simulation role play ในงานเปิดตัว ทีมงานอยากได้ reasoning เปรียบเทียบข้อดีข้อเสียของแต่ละวิธีเพื่อประกอบการตัดสินใจ"
"Reasoning","Full Context","บริษัทเทคโนโลยีวางแผน partnership กับ influencer สำหรับ awareness campaign โดยมี proposal ให้เลือกทั้งแบบ summary และ paraphrase ช่วย reasoning ข้อดีข้อเสียแต่ละแบบ"
"Reasoning","Full Context","ร้านอาหารเปิดตัวเมนูใหม่โดยจัด simulation role play และใช้ press release reasoning ทีมงานอยากทราบ reasoning ว่าควรเน้นวิธีไหนใน awareness campaign"
"Reasoning","Full Context","บริษัทอสังหาฯ ต้องเลือกใช้ caption generation หรือ general content ใน press release สำหรับโครงการใหม่ ช่วย reasoning เปรียบเทียบข้อดีข้อเสีย"
"Reasoning","Full Context","ทีม marketing ต้องวางแผน trending campaign โดยมีทางเลือกใช้ simulation role play หรือ summary ใน proposal ช่วย reasoning ว่าควรเลือกอะไร"
"Reasoning","Full Context","บริษัทแฟชั่นกำลังเลือกวิธีสื่อสารระหว่าง press release reasoning กับ simulation role play ในงานเปิดตัวสินค้าใหม่ ช่วย reasoning ข้อดีข้อเสีย"
"Reasoning","Full Context","ร้านอาหารต้องการตัดสินใจว่าจะใช้ paraphrase หรือ summary ใน awareness campaign ช่วย reasoning เปรียบเทียบ"
"Reasoning","Full Context","บริษัทเทคโนโลยีต้องเลือกใช้ simulation role play หรือ caption generation ใน marketing planning ช่วย reasoning"
"Reasoning","Full Context","ทีมงานต้องการเลือกใช้ partnership proposal ที่มี reasoning หรือ simulation role play ช่วย reasoning"
"Reasoning","Full Context","บริษัทแฟชั่นต้องการใช้ press release ที่มี caption generation หรือ general content สำหรับ awareness campaign ช่วย reasoning"
"Reasoning","Full Context","ร้านอาหารต้องการเลือกใช้ simulation role play หรือ press release reasoning ในงานเปิดตัวเมนูใหม่ ช่วย reasoning"
"Reasoning","Full Context","บริษัทอสังหาฯ ต้องการเลือก summary หรือ paraphrase ใน proposal awareness campaign ช่วย reasoning"
"Reasoning","Full Context","ทีม marketing ต้องวางแผน trending campaign โดยมีทางเลือกใช้ simulation role play หรือ summary ใน proposal ช่วย reasoning"
"Reasoning","Full Context","บริษัทแฟชั่นกำลังเลือกวิธีสื่อสารระหว่าง press release reasoning กับ simulation role play ในงานเปิดตัวสินค้าใหม่ ช่วย reasoning ข้อดีข้อเสีย"
"Reasoning","Full Context","ร้านอาหารต้องการตัดสินใจว่าจะใช้ paraphrase หรือ summary ใน awareness campaign ช่วย reasoning เปรียบเทียบ"
"Reasoning","Full Context","บริษัทเทคโนโลยีต้องเลือกใช้ simulation role play หรือ caption generation ใน marketing planning ช่วย reasoning"
"Reasoning","Full Context","ทีมงานต้องการเลือกใช้ partnership proposal ที่มี reasoning หรือ simulation role play ช่วย reasoning"
"Reasoning","Full Context","บริษัทแฟชั่นต้องการใช้ press release ที่มี caption generation หรือ general content สำหรับ awareness campaign ช่วย reasoning"
"Reasoning","Full Context","ร้านอาหารต้องการเลือกใช้ simulation role play หรือ press release reasoning ในงานเปิดตัวเมนูใหม่ ช่วย reasoning"
"Reasoning","Full Context","บริษัทอสังหาฯ ต้องการเลือก summary หรือ paraphrase ใน proposal awareness campaign ช่วย reasoning"
"Trending","Without Context","เทรนด์ caption generation ที่กำลังมาแรงใน press release ปีนี้คืออะไร"
"Trending","Without Context","ช่วยบอกเทรนด์การใช้ simulation role play ใน marketing planning"
"Trending","Without Context","เทรนด์ proposal partnership กับ influencer สำหรับ awareness campaign ตอนนี้เป็นอย่างไร"
"Trending","Without Context","ช่วยอัพเดตเทรนด์ summary และ paraphrase ใน press release"
"Trending","Without Context","เทรนด์ trending campaign ในวงการแฟชั่นปีนี้คืออะไร"
"Trending","Without Context","ช่วยบอกเทรนด์การใช้ reasoning ใน proposal ความร่วมมือ"
"Trending","Without Context","เทรนด์ simulation role play ในงานเปิดตัวสินค้าใหม่เป็นอย่างไร"
"Trending","Without Context","ช่วยอัพเดตเทรนด์การใช้ caption generation ใน awareness campaign"
"Trending","Without Context","เทรนด์ proposal partnership กับ influencer สำหรับ trending campaign ปีนี้"
"Trending","Without Context","ช่วยบอกเทรนด์การใช้ summary ใน press release"
"Trending","Without Context","เทรนด์ simulation role play ใน marketing planning ปีนี้เป็นอย่างไร"
"Trending","Without Context","ช่วยอัพเดตเทรนด์การใช้ caption generation ใน proposal ความร่วมมือ"
"Trending","Without Context","เทรนด์ trending campaign ในวงการอาหารปีนี้คืออะไร"
"Trending","Without Context","ช่วยบอกเทรนด์การใช้ reasoning ใน press release"
"Trending","Without Context","เทรนด์ simulation role play ในงาน awareness campaign เป็นอย่างไร"
"Trending","Without Context","ช่วยอัพเดตเทรนด์การใช้ caption generation ใน press release"
"Trending","Without Context","เทรนด์ proposal partnership กับ influencer สำหรับ awareness campaign ปีนี้"
"Trending","Without Context","ช่วยบอกเทรนด์การใช้ summary ใน marketing planning"
"Trending","Without Context","เทรนด์ simulation role play ใน proposal ความร่วมมือปีนี้เป็นอย่างไร"
"Trending","Without Context","ช่วยอัพเดตเทรนด์การใช้ caption generation ใน trending campaign"
"Trending","Light Context","บริษัทแฟชั่นต้องการอัพเดตเทรนด์ caption generation ใน press release สำหรับ awareness campaign ปีนี้"
"Trending","Light Context","ทีมงานอยากรู้เทรนด์ simulation role play ใน marketing planning สำหรับ trending campaign"
"Trending","Light Context","บริษัทอสังหาฯ ต้องการเทรนด์ proposal partnership กับ influencer สำหรับ awareness campaign"
"Trending","Light Context","ร้านอาหารอยากทราบเทรนด์ summary และ paraphrase ใน press release ปีนี้"
"Trending","Light Context","บริษัทเทคโนโลยีอยากรู้เทรนด์ trending campaign ในวงการแฟชั่น"
"Trending","Light Context","ทีม marketing อยากอัพเดตเทรนด์ reasoning ใน proposal ความร่วมมือ"
"Trending","Light Context","บริษัทแฟชั่นต้องการเทรนด์ simulation role play ในงานเปิดตัวสินค้าใหม่"
"Trending","Light Context","ร้านอาหารอยากทราบเทรนด์ caption generation ใน awareness campaign"
"Trending","Light Context","บริษัทอสังหาฯ ต้องการเทรนด์ proposal partnership กับ influencer สำหรับ trending campaign"
"Trending","Light Context","ทีมงานอยากรู้เทรนด์ summary ใน press release ปีนี้"
"Trending","Light Context","บริษัทเทคโนโลยีอยากรู้เทรนด์ simulation role play ใน marketing planning"
"Trending","Light Context","ทีม marketing อยากอัพเดตเทรนด์ caption generation ใน proposal ความร่วมมือ"
"Trending","Light Context","บริษัทแฟชั่นต้องการเทรนด์ trending campaign ในวงการอาหาร"
"Trending","Light Context","ร้านอาหารอยากทราบเทรนด์ reasoning ใน press release"
"Trending","Light Context","บริษัทอสังหาฯ ต้องการเทรนด์ simulation role play ในงาน awareness campaign"
"Trending","Light Context","ทีมงานอยากอัพเดตเทรนด์ caption generation ใน press release"
"Trending","Light Context","บริษัทเทคโนโลยีอยากรู้เทรนด์ proposal partnership กับ influencer สำหรับ awareness campaign"
"Trending","Light Context","ทีม marketing อยากรู้เทรนด์ summary ใน marketing planning"
"Trending","Light Context","บริษัทแฟชั่นต้องการเทรนด์ simulation role play ใน proposal ความร่วมมือ"
"Trending","Light Context","ร้านอาหารอยากอัพเดตเทรนด์ caption generation ใน trending campaign"
