type,contextLevel,sentence
"Trending","Full Context","บริษัทแฟชั่นกำลังจะเปิดตัวคอลเลกชันใหม่โดยใช้ press release ที่มี caption generation ทีมงานอยากอัพเดตเทรนด์ caption generation ปีนี้เพื่อใช้ใน awareness campaign"
"Trending","Full Context","บริษัทเทคโนโลยีวางแผน simulation role play ใน marketing planning สำหรับ trending campaign อยากรู้เทรนด์ simulation role play ปีนี้"
"Trending","Full Context","ร้านอาหารกำลังเตรียม proposal partnership กับ influencer สำหรับ awareness campaign อยากได้เทรนด์ล่าสุด"
"Trending","Full Context","บริษัทอสังหาฯ ต้องการเทรนด์ summary และ paraphrase ใน press release สำหรับโครงการใหม่"
"Trending","Full Context","ทีม marketing ต้องการเทรนด์ trending campaign ในวงการแฟชั่นและ reasoning ใน proposal ความร่วมมือ"
"Trending","Full Context","บริษัทแฟชั่นวางแผน simulation role play ในงานเปิดตัวสินค้าใหม่ อยากรู้เทรนด์ simulation role play ปีนี้"
"Trending","Full Context","ร้านอาหารอยากทราบเทรนด์ caption generation ใน awareness campaign ปีนี้"
"Trending","Full Context","บริษัทเทคโนโลยีต้องการเทรนด์ proposal partnership กับ influencer สำหรับ trending campaign"
"Trending","Full Context","ทีมงานอยากรู้เทรนด์ summary ใน press release สำหรับ awareness campaign"
"Trending","Full Context","บริษัทแฟชั่นต้องการเทรนด์ simulation role play ใน marketing planning ปีนี้"
"Trending","Full Context","ร้านอาหารต้องการเทรนด์ caption generation ใน proposal ความร่วมมือ"
"Trending","Full Context","บริษัทอสังหาฯ ต้องการเทรนด์ trending campaign ในวงการอาหารและ reasoning ใน press release"
"Trending","Full Context","ทีม marketing อยากรู้เทรนด์ simulation role play ในงาน awareness campaign"
"Trending","Full Context","บริษัทแฟชั่นต้องการเทรนด์ caption generation ใน press release ปีนี้"
"Trending","Full Context","ร้านอาหารต้องการเทรนด์ proposal partnership กับ influencer สำหรับ awareness campaign"
"Trending","Full Context","บริษัทเทคโนโลยีอยากรู้เทรนด์ summary ใน marketing planning"
"Trending","Full Context","ทีมงานต้องการเทรนด์ simulation role play ใน proposal ความร่วมมือ"
"Trending","Full Context","บริษัทแฟชั่นอยากอัพเดตเทรนด์ caption generation ใน trending campaign"
"Trending","Full Context","ร้านอาหารอยากรู้เทรนด์ summary และ reasoning ใน press release"
"Trending","Full Context","บริษัทอสังหาฯ อยากรู้เทรนด์ simulation role play ใน marketing planning ปีนี้"
"Caption Generation","Without Context","ช่วยคิด caption สำหรับ press release เปิดตัวสินค้าใหม่ที่เน้น reasoning"
"Caption Generation","Without Context","เขียน caption สำหรับ proposal partnership กับ influencer ใน trending campaign"
"Caption Generation","Without Context","ช่วยสร้าง caption สำหรับ simulation role play ใน marketing planning"
"Caption Generation","Without Context","คิด caption สำหรับ summary ใน awareness campaign"
"Caption Generation","Without Context","ช่วยเขียน caption สำหรับ trending campaign ในวงการแฟชั่น"
"Caption Generation","Without Context","คิด caption สำหรับ reasoning ใน press release"
"Caption Generation","Without Context","ช่วยสร้าง caption สำหรับ simulation role play ในงานเปิดตัว"
"Caption Generation","Without Context","เขียน caption สำหรับ proposal partnership กับ influencer"
"Caption Generation","Without Context","คิด caption สำหรับ summary ใน press release"
"Caption Generation","Without Context","ช่วยสร้าง caption สำหรับ trending campaign ในวงการอาหาร"
"Caption Generation","Without Context","เขียน caption สำหรับ reasoning ใน marketing planning"
"Caption Generation","Without Context","ช่วยคิด caption สำหรับ simulation role play ใน awareness campaign"
"Caption Generation","Without Context","คิด caption สำหรับ proposal partnership กับ influencer"
"Caption Generation","Without Context","ช่วยเขียน caption สำหรับ summary ใน trending campaign"
"Caption Generation","Without Context","คิด caption สำหรับ press release reasoning"
"Caption Generation","Without Context","ช่วยสร้าง caption สำหรับ simulation role play ใน proposal ความร่วมมือ"
"Caption Generation","Without Context","เขียน caption สำหรับ trending campaign ใน marketing planning"
"Caption Generation","Without Context","ช่วยคิด caption สำหรับ reasoning ใน press release"
"Caption Generation","Without Context","คิด caption สำหรับ simulation role play ใน awareness campaign"
"Caption Generation","Without Context","ช่วยสร้าง caption สำหรับ summary ใน proposal ความร่วมมือ"
"Caption Generation","Light Context","บริษัทแฟชั่นต้องการ caption สำหรับ press release เปิดตัวคอลเลกชันใหม่ที่เน้น reasoning"
"Caption Generation","Light Context","ทีมงานอยากได้ caption สำหรับ proposal partnership กับ influencer ใน trending campaign"
"Caption Generation","Light Context","บริษัทอสังหาฯ ต้องการ caption สำหรับ simulation role play ใน marketing planning"
"Caption Generation","Light Context","ร้านอาหารอยากได้ caption สำหรับ summary ใน awareness campaign"
"Caption Generation","Light Context","บริษัทเทคโนโลยีต้องการ caption สำหรับ trending campaign ในวงการแฟชั่น"
"Caption Generation","Light Context","ทีม marketing อยากได้ caption สำหรับ reasoning ใน press release"
"Caption Generation","Light Context","บริษัทแฟชั่นต้องการ caption สำหรับ simulation role play ในงานเปิดตัว"
"Caption Generation","Light Context","ร้านอาหารต้องการ caption สำหรับ proposal partnership กับ influencer"
"Caption Generation","Light Context","บริษัทอสังหาฯ ต้องการ caption สำหรับ summary ใน press release"
"Caption Generation","Light Context","ทีมงานอยากได้ caption สำหรับ trending campaign ในวงการอาหาร"
"Caption Generation","Light Context","บริษัทเทคโนโลยีต้องการ caption สำหรับ reasoning ใน marketing planning"
"Caption Generation","Light Context","ร้านอาหารต้องการ caption สำหรับ simulation role play ใน awareness campaign"
"Caption Generation","Light Context","บริษัทแฟชั่นต้องการ caption สำหรับ proposal partnership กับ influencer"
"Caption Generation","Light Context","ทีม marketing อยากได้ caption สำหรับ summary ใน trending campaign"
"Caption Generation","Light Context","บริษัทอสังหาฯ ต้องการ caption สำหรับ press release reasoning"
"Caption Generation","Light Context","ร้านอาหารต้องการ caption สำหรับ simulation role play ใน proposal ความร่วมมือ"
"Caption Generation","Light Context","บริษัทเทคโนโลยีต้องการ caption สำหรับ trending campaign ใน marketing planning"
"Caption Generation","Light Context","ทีมงานอยากได้ caption สำหรับ reasoning ใน press release"
"Caption Generation","Light Context","บริษัทแฟชั่นต้องการ caption สำหรับ simulation role play ใน awareness campaign"
"Caption Generation","Light Context","ร้านอาหารต้องการ caption สำหรับ summary ใน proposal ความร่วมมือ"
"Caption Generation","Full Context","บริษัทแฟชั่นกำลังจะเปิดตัวคอลเลกชันใหม่โดยมี press release reasoning ทีมงานอยากได้ caption สำหรับ awareness campaign ที่เหมาะกับกลุ่มเป้าหมาย"
"Caption Generation","Full Context","บริษัทเทคโนโลยีวางแผน proposal partnership กับ influencer สำหรับ trending campaign อยากได้ caption ที่โดนใจ"
"Caption Generation","Full Context","ร้านอาหารกำลังเตรียม simulation role play ใน marketing planning อยากได้ caption สำหรับโปรโมทกิจกรรม"
"Caption Generation","Full Context","บริษัทอสังหาฯ ต้องการ summary caption สำหรับ awareness campaign ในงานเปิดตัวโครงการใหม่"
"Caption Generation","Full Context","ทีม marketing ต้องการ caption สำหรับ trending campaign ในวงการแฟชั่นที่เน้น reasoning"
"Caption Generation","Full Context","บริษัทแฟชั่นวางแผน simulation role play ในงานเปิดตัวสินค้าใหม่ อยากได้ caption สำหรับโปรโมท"
"Caption Generation","Full Context","ร้านอาหารต้องการ caption สำหรับ proposal partnership กับ influencer ใน awareness campaign"
"Caption Generation","Full Context","บริษัทเทคโนโลยีต้องการ caption สำหรับ summary ใน press release สำหรับโครงการใหม่"
"Caption Generation","Full Context","ทีมงานอยากได้ caption สำหรับ trending campaign ในวงการอาหารที่เน้น reasoning"
"Caption Generation","Full Context","บริษัทแฟชั่นต้องการ caption สำหรับ simulation role play ใน marketing planning"
"Caption Generation","Full Context","ร้านอาหารต้องการ caption สำหรับ reasoning ใน press release สำหรับเมนูใหม่"
"Caption Generation","Full Context","บริษัทอสังหาฯ ต้องการ caption สำหรับ simulation role play ใน awareness campaign"
"Caption Generation","Full Context","ทีม marketing อยากได้ caption สำหรับ proposal partnership กับ influencer ที่เน้น reasoning"
"Caption Generation","Full Context","บริษัทแฟชั่นต้องการ caption สำหรับ summary ใน trending campaign"
"Caption Generation","Full Context","ร้านอาหารต้องการ caption สำหรับ press release reasoning ใน awareness campaign"
"Caption Generation","Full Context","บริษัทเทคโนโลยีอยากได้ caption สำหรับ simulation role play ใน proposal ความร่วมมือ"
"Caption Generation","Full Context","ทีมงานต้องการ caption สำหรับ trending campaign ใน marketing planning"
"Caption Generation","Full Context","บริษัทแฟชั่นต้องการ caption สำหรับ reasoning ใน press release สำหรับคอลเลกชันใหม่"
"Caption Generation","Full Context","ร้านอาหารต้องการ caption สำหรับ simulation role play ใน awareness campaign"
"Caption Generation","Full Context","บริษัทอสังหาฯ ต้องการ caption สำหรับ summary ใน proposal ความร่วมมือ"
"General","Without Context","ขอไอเดีย marketing ที่ผสมผสาน simulation role play กับ reasoning"
"General","Without Context","ขอแนวคิด awareness campaign ที่เน้น caption generation ใน press release"
"General","Without Context","ขอไอเดีย proposal partnership กับ influencer สำหรับ trending campaign"
"General","Without Context","ขอแนวทาง summary ใน press release สำหรับ awareness campaign"
"General","Without Context","ขอไอเดีย simulation role play ใน marketing planning"
"General","Without Context","ขอแนวคิดในการใช้ reasoning ใน proposal ความร่วมมือ"
"General","Without Context","ขอไอเดีย trending campaign สำหรับวงการแฟชั่น"
"General","Without Context","ขอแนวทางการใช้ caption generation ใน awareness campaign"
"General","Without Context","ขอไอเดีย proposal partnership กับ influencer สำหรับ press release"
"General","Without Context","ขอแนวคิด summary สำหรับ simulation role play"
"General","Without Context","ขอไอเดีย reasoning ใน marketing planning"
"General","Without Context","ขอแนวทาง simulation role play ใน awareness campaign"
"General","Without Context","ขอไอเดีย caption generation สำหรับ proposal partnership"
"General","Without Context","ขอแนวคิด summary ใน trending campaign"
"General","Without Context","ขอไอเดีย press release ที่เน้น reasoning"
"General","Without Context","ขอแนวทาง simulation role play สำหรับ proposal ความร่วมมือ"
"General","Without Context","ขอไอเดีย trending campaign ใน marketing planning"
"General","Without Context","ขอแนวคิด caption generation สำหรับ reasoning ใน press release"
"General","Without Context","ขอไอเดีย simulation role play ใน awareness campaign"
"General","Without Context","ขอแนวทาง summary สำหรับ proposal ความร่วมมือ"
"General","Light Context","บริษัทแฟชั่นต้องการไอเดีย marketing ที่ผสม simulation role play กับ reasoning สำหรับ awareness campaign"
"General","Light Context","ทีมงานอยากได้แนวคิด awareness campaign ที่เน้น caption generation ใน press release"
"General","Light Context","บริษัทอสังหาฯ ต้องการไอเดีย proposal partnership กับ influencer สำหรับ trending campaign"
"General","Light Context","ร้านอาหารอยากได้แนวทาง summary ใน press release สำหรับ awareness campaign"
"General","Light Context","บริษัทเทคโนโลยีต้องการไอเดีย simulation role play ใน marketing planning"
"General","Light Context","ทีม marketing อยากได้แนวคิดในการใช้ reasoning ใน proposal ความร่วมมือ"
"General","Light Context","บริษัทแฟชั่นต้องการไอเดีย trending campaign สำหรับวงการแฟชั่น"
"General","Light Context","ร้านอาหารอยากได้แนวทางการใช้ caption generation ใน awareness campaign"
"General","Light Context","บริษัทอสังหาฯ ต้องการไอเดีย proposal partnership กับ influencer สำหรับ press release"
"General","Light Context","ทีมงานอยากได้แนวคิด summary สำหรับ simulation role play"
"General","Light Context","บริษัทเทคโนโลยีต้องการไอเดีย reasoning ใน marketing planning"
"General","Light Context","ร้านอาหารต้องการแนวทาง simulation role play ใน awareness campaign"
"General","Light Context","บริษัทแฟชั่นต้องการไอเดีย caption generation สำหรับ proposal partnership"
"General","Light Context","ทีม marketing อยากได้แนวคิด summary ใน trending campaign"
"General","Light Context","บริษัทอสังหาฯ ต้องการไอเดีย press release ที่เน้น reasoning"
"General","Light Context","ร้านอาหารต้องการแนวทาง simulation role play สำหรับ proposal ความร่วมมือ"
"General","Light Context","บริษัทเทคโนโลยีอยากได้ไอเดีย trending campaign ใน marketing planning"
"General","Light Context","ทีมงานอยากได้แนวคิด caption generation สำหรับ reasoning ใน press release"
"General","Light Context","บริษัทแฟชั่นต้องการไอเดีย simulation role play ใน awareness campaign"
"General","Light Context","ร้านอาหารต้องการแนวทาง summary สำหรับ proposal ความร่วมมือ"
"General","Full Context","บริษัทแฟชั่นกำลังจะเปิดตัวคอลเลกชันใหม่โดยมี press release reasoning และ simulation role play ในงานเปิดตัว ทีมงานอยากได้ไอเดีย marketing ที่เหมาะกับ awareness campaign"
"General","Full Context","บริษัทเทคโนโลยีวางแผน proposal partnership กับ influencer สำหรับ trending campaign และอยากได้แนวคิด caption generation ใน press release"
"General","Full Context","ร้านอาหารกำลังเตรียม simulation role play ใน marketing planning และอยากได้ไอเดีย summary สำหรับ awareness campaign"
"General","Full Context","บริษัทอสังหาฯ ต้องการแนวคิด proposal partnership กับ influencer สำหรับ press release ที่เน้น reasoning"
"General","Full Context","ทีม marketing ต้องการไอเดีย simulation role play ใน awareness campaign และ caption generation สำหรับ trending campaign"
"General","Full Context","บริษัทแฟชั่นวางแผน simulation role play ในงานเปิดตัวสินค้าใหม่ และอยากได้แนวคิด summary สำหรับ press release"
"General","Full Context","ร้านอาหารต้องการไอเดีย proposal partnership กับ influencer สำหรับ awareness campaign ที่เน้น reasoning"
"General","Full Context","บริษัทเทคโนโลยีต้องการแนวคิด caption generation ใน press release สำหรับโครงการใหม่"
"General","Full Context","ทีมงานอยากได้ไอเดีย trending campaign ในวงการอาหารที่เน้น reasoning"
"General","Full Context","บริษัทแฟชั่นต้องการไอเดีย simulation role play ใน marketing planning สำหรับ awareness campaign"
"General","Full Context","ร้านอาหารต้องการแนวคิด reasoning ใน press release สำหรับเมนูใหม่"
"General","Full Context","บริษัทอสังหาฯ ต้องการไอเดีย simulation role play ใน awareness campaign"
"General","Full Context","ทีม marketing อยากได้ไอเดีย proposal partnership กับ influencer ที่เน้น reasoning"
"General","Full Context","บริษัทแฟชั่นต้องการแนวคิด summary ใน trending campaign สำหรับ awareness campaign"
"General","Full Context","ร้านอาหารต้องการไอเดีย press release reasoning ใน awareness campaign"
"General","Full Context","บริษัทเทคโนโลยีอยากได้ไอเดีย simulation role play ใน proposal ความร่วมมือ"
"General","Full Context","ทีมงานต้องการไอเดีย trending campaign ใน marketing planning สำหรับ awareness campaign"
"General","Full Context","บริษัทแฟชั่นต้องการแนวคิด caption generation สำหรับ reasoning ใน press release"
"General","Full Context","ร้านอาหารต้องการไอเดีย simulation role play ใน awareness campaign สำหรับเมนูใหม่"
"General","Full Context","บริษัทอสังหาฯ ต้องการแนวคิด summary สำหรับ proposal ความร่วมมือใน awareness campaign"
"Marketing Planning","Without Context","ช่วยวางแผน marketing ที่ผสม simulation role play กับ reasoning"
"Marketing Planning","Without Context","วางแผน awareness campaign ที่เน้น caption generation ใน press release"
"Marketing Planning","Without Context","ช่วยวางแผน proposal partnership กับ influencer สำหรับ trending campaign"
"Marketing Planning","Without Context","วางแผน summary ใน press release สำหรับ awareness campaign"
"Marketing Planning","Without Context","ช่วยวางแผน simulation role play ใน marketing planning"
"Marketing Planning","Without Context","วางแผนการใช้ reasoning ใน proposal ความร่วมมือ"
"Marketing Planning","Without Context","ช่วยวางแผน trending campaign สำหรับวงการแฟชั่น"
"Marketing Planning","Without Context","วางแผนการใช้ caption generation ใน awareness campaign"
"Marketing Planning","Without Context","ช่วยวางแผน proposal partnership กับ influencer สำหรับ press release"
"Marketing Planning","Without Context","วางแผน summary สำหรับ simulation role play"
"Marketing Planning","Without Context","ช่วยวางแผน reasoning ใน marketing planning"
"Marketing Planning","Without Context","วางแผน simulation role play ใน awareness campaign"
"Marketing Planning","Without Context","ช่วยวางแผน caption generation สำหรับ proposal partnership"
"Marketing Planning","Without Context","วางแผน summary ใน trending campaign"
"Marketing Planning","Without Context","ช่วยวางแผน press release ที่เน้น reasoning"
"Marketing Planning","Without Context","วางแผน simulation role play สำหรับ proposal ความร่วมมือ"
"Marketing Planning","Without Context","ช่วยวางแผน trending campaign ใน marketing planning"
"Marketing Planning","Without Context","วางแผน caption generation สำหรับ reasoning ใน press release"
"Marketing Planning","Without Context","ช่วยวางแผน simulation role play ใน awareness campaign"
"Marketing Planning","Without Context","วางแผน summary สำหรับ proposal ความร่วมมือ"
"Marketing Planning","Light Context","บริษัทแฟชั่นต้องการแผน marketing ที่ผสม simulation role play กับ reasoning สำหรับ awareness campaign"
"Marketing Planning","Light Context","ทีมงานอยากได้แผน awareness campaign ที่เน้น caption generation ใน press release"
"Marketing Planning","Light Context","บริษัทอสังหาฯ ต้องการแผน proposal partnership กับ influencer สำหรับ trending campaign"
"Marketing Planning","Light Context","ร้านอาหารอยากได้แผน summary ใน press release สำหรับ awareness campaign"
"Marketing Planning","Light Context","บริษัทเทคโนโลยีต้องการแผน simulation role play ใน marketing planning"
"Marketing Planning","Light Context","ทีม marketing อยากได้แผนการใช้ reasoning ใน proposal ความร่วมมือ"
"Marketing Planning","Light Context","บริษัทแฟชั่นต้องการแผน trending campaign สำหรับวงการแฟชั่น"
"Marketing Planning","Light Context","ร้านอาหารอยากได้แผนการใช้ caption generation ใน awareness campaign"
"Marketing Planning","Light Context","บริษัทอสังหาฯ ต้องการแผน proposal partnership กับ influencer สำหรับ press release"
"Marketing Planning","Light Context","ทีมงานอยากได้แผน summary สำหรับ simulation role play"
"Marketing Planning","Light Context","บริษัทเทคโนโลยีต้องการแผน reasoning ใน marketing planning"
"Marketing Planning","Light Context","ร้านอาหารต้องการแผน simulation role play ใน awareness campaign"
"Marketing Planning","Light Context","บริษัทแฟชั่นต้องการแผน caption generation สำหรับ proposal partnership"
"Marketing Planning","Light Context","ทีม marketing อยากได้แผน summary ใน trending campaign"
"Marketing Planning","Light Context","บริษัทอสังหาฯ ต้องการแผน press release ที่เน้น reasoning"
"Marketing Planning","Light Context","ร้านอาหารต้องการแผน simulation role play สำหรับ proposal ความร่วมมือ"
"Marketing Planning","Light Context","บริษัทเทคโนโลยีอยากได้แผน trending campaign ใน marketing planning"
"Marketing Planning","Light Context","ทีมงานอยากได้แผน caption generation สำหรับ reasoning ใน press release"
"Marketing Planning","Light Context","บริษัทแฟชั่นต้องการแผน simulation role play ใน awareness campaign"
"Marketing Planning","Light Context","ร้านอาหารต้องการแผน summary สำหรับ proposal ความร่วมมือ"
"Marketing Planning","Full Context","บริษัทแฟชั่นกำลังจะเปิดตัวคอลเลกชันใหม่โดยมี press release reasoning และ simulation role play ในงานเปิดตัว ทีมงานอยากได้แผน marketing ที่เหมาะกับ awareness campaign"
"Marketing Planning","Full Context","บริษัทเทคโนโลยีวางแผน proposal partnership กับ influencer สำหรับ trending campaign และอยากได้แผน caption generation ใน press release"
"Marketing Planning","Full Context","ร้านอาหารกำลังเตรียม simulation role play ใน marketing planning และอยากได้แผน summary สำหรับ awareness campaign"
"Marketing Planning","Full Context","บริษัทอสังหาฯ ต้องการแผน proposal partnership กับ influencer สำหรับ press release ที่เน้น reasoning"
"Marketing Planning","Full Context","ทีม marketing ต้องการแผน simulation role play ใน awareness campaign และ caption generation สำหรับ trending campaign"
"Marketing Planning","Full Context","บริษัทแฟชั่นวางแผน simulation role play ในงานเปิดตัวสินค้าใหม่ และอยากได้แผน summary สำหรับ press release"
"Marketing Planning","Full Context","ร้านอาหารต้องการแผน proposal partnership กับ influencer สำหรับ awareness campaign ที่เน้น reasoning"
"Marketing Planning","Full Context","บริษัทเทคโนโลยีต้องการแผน caption generation ใน press release สำหรับโครงการใหม่"
"Marketing Planning","Full Context","ทีมงานอยากได้แผน trending campaign ในวงการอาหารที่เน้น reasoning"
"Marketing Planning","Full Context","บริษัทแฟชั่นต้องการแผน simulation role play ใน marketing planning สำหรับ awareness campaign"
"Marketing Planning","Full Context","ร้านอาหารต้องการแผน reasoning ใน press release สำหรับเมนูใหม่"
"Marketing Planning","Full Context","บริษัทอสังหาฯ ต้องการแผน simulation role play ใน awareness campaign"
"Marketing Planning","Full Context","ทีม marketing อยากได้แผน proposal partnership กับ influencer ที่เน้น reasoning"
"Marketing Planning","Full Context","บริษัทแฟชั่นต้องการแผน summary ใน trending campaign สำหรับ awareness campaign"
"Marketing Planning","Full Context","ร้านอาหารต้องการแผน press release reasoning ใน awareness campaign"
"Marketing Planning","Full Context","บริษัทเทคโนโลยีอยากได้แผน simulation role play ใน proposal ความร่วมมือ"
"Marketing Planning","Full Context","ทีมงานต้องการแผน trending campaign ใน marketing planning สำหรับ awareness campaign"
"Marketing Planning","Full Context","บริษัทแฟชั่นต้องการแผน caption generation สำหรับ reasoning ใน press release"
"Marketing Planning","Full Context","ร้านอาหารต้องการแผน simulation role play ใน awareness campaign สำหรับเมนูใหม่"
"Marketing Planning","Full Context","บริษัทอสังหาฯ ต้องการแผน summary สำหรับ proposal ความร่วมมือใน awareness campaign"